Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1916 | 4 |  |  |  |  |  |  | April 1916 | Establishment of Tilak's Home Rule League | <h3>Event Summary</h3><p>Tilak established his Home Rule League in April 1916 with headquarters in Poona.</p><h4>Key Details</h4><ul><li>The first meeting was held at Belgaum</li><li>The league covered Maharashtra (excluding Bombay city), Karnataka, Central Provinces, and Berar</li><li>It had six branches with a more structured organization</li><li>Key demands included Swarajya, formation of linguistic states, and education in the vernacular</li></ul> |  |  |  |  |  |  | Freedom Movement |
1916 | 9 |  |  |  |  |  |  | September 1916 | Establishment of Besant's Home Rule League | <h3>Event Summary</h3><p>Annie Besant established her Home Rule League in September 1916 with headquarters in Madras.</p><h4>Key Details</h4><ul><li>The league covered the rest of India (including Bombay city)</li><li>It had 200 branches but was loosely organized</li><li>Key personnel included George Arundale as organizing secretary, and B.W. Wadia and C.P. Ramaswamy Aiyar as key workers</li></ul> |  |  |  |  |  |  | Freedom Movement |
1916 |  |  |  |  |  |  |  |  | Lucknow Session and Congress Reunification | <h3>Event Summary</h3><p>The 1916 Lucknow Session of the Indian National Congress marked the reunification of Moderates and Extremists within the organization.</p><h4>Key Details</h4><ul><li>Tilak's faction was readmitted after he declared support for reform</li><li>Tilak denounced support for overthrowing the government and acts of violence</li><li>The death of Pherozeshah Mehta, who had led moderate opposition to extremism, facilitated this reunification</li></ul><h4>Significance</h4><p>This reunification strengthened the nationalist movement by bringing together different factions under one organization.</p> |  |  |  |  |  |  | Freedom Movement |
1916 |  |  |  |  |  |  |  |  | Lucknow Pact between Congress and Muslim League | <h3>Event Summary</h3><p>The 1916 Lucknow Pact represented an agreement between the Indian National Congress and the Muslim League.</p><h4>Key Details</h4><ul><li>Congress accepted separate electorates until joint electorates were demanded</li><li>Muslims received a fixed proportion of legislative seats at all levels</li><li>Joint demands included self-government declaration, expanded elected assemblies, and Indian representation in councils</li></ul><h4>Significance</h4><p>The pact was significant as younger militant nationalists in the League aligned with Congress on anti-imperialism, representing a united front against British rule.</p> |  |  |  |  |  |  | Constitutional Development |
1917 | 6 |  |  |  |  |  |  | June 1917 | Arrest of Annie Besant | <h3>Event Summary</h3><p>Annie Besant was arrested by the British government in June 1917, triggering nationwide protests.</p><h4>Key Details</h4><ul><li>The arrest was part of severe government repression against the Home Rule Movement</li><li>Students in Madras were prohibited from attending political meetings</li><li>Besant was released in September 1917 following widespread protests</li></ul> |  |  |  |  |  |  | Freedom Movement |
1917 | 9 |  |  |  |  |  |  | September 1917 | Release of Annie Besant | <h3>Event Summary</h3><p>Annie Besant was released from detention in September 1917 following nationwide protests against her arrest.</p><h4>Key Details</h4><ul><li>Her release came three months after her June 1917 arrest</li><li>The arrest and subsequent release demonstrated the growing strength of the nationalist movement</li></ul> |  |  |  |  |  |  | Freedom Movement |
1917 | 8 |  |  |  |  |  |  | August 1917 | Montagu's Statement on Indian Reforms | <h3>Event Summary</h3><p>In August 1917, Montagu issued a statement promising increasing Indian participation in administration and gradual development of self-governing institutions.</p><h4>Key Details</h4><ul><li>The statement made self-government demands non-seditious</li><li>It introduced the concept of "dyarchy"</li><li>Indians objected to the lack of a specific timeframe</li><li>The statement indicated that British would decide the nature and timing of advances toward responsible government</li></ul><h4>Significance</h4><p>This statement influenced the later Montagu-Chelmsford reforms and represented a significant, if limited, British concession to Indian demands.</p> |  |  |  |  |  |  | Constitutional Development |
1917 |  |  |  | 1918 |  |  |  | 1917-1918 | Communal Riots | <h3>Event Summary</h3><p>Communal riots occurred between 1917-18, contributing to the decline of the Home Rule Movement.</p><h4>Key Details</h4><ul><li>These riots, along with organizational weakness, undermined the Home Rule Movement</li><li>The riots occurred during a period of growing nationalist activity</li></ul> |  |  |  |  |  |  | Freedom Movement |
1918 | 7 |  |  |  |  |  |  | July 1918 | Montagu-Chelmsford Reforms | <h3>Event Summary</h3><p>The Montagu-Chelmsford reforms were announced in July 1918, dividing nationalist opinion.</p><h4>Key Details</h4><ul><li>These reforms followed Montagu's 1917 statement on Indian reforms</li><li>The reforms contributed to the decline of the Home Rule Movement by dividing nationalist opinion</li></ul> |  |  |  |  |  |  | Constitutional Development |
1918 | 9 |  |  |  |  |  |  | September 1918 | Tilak travels abroad for libel case | <h3>Event Summary</h3><p>In September 1918, Tilak traveled abroad to pursue a libel case, which contributed to the decline of the Home Rule Movement.</p><h4>Key Details</h4><ul><li>Tilak's absence removed a key leader from the movement</li><li>This occurred as Gandhi's approach was gaining momentum</li></ul> |  |  |  |  |  |  | Nationalist Leaders |
1920 |  |  |  |  |  |  |  |  | Renaming of Home Rule League to Swarajya Sabha | <h3>Event Summary</h3><p>In 1920, Gandhi renamed the Home Rule League to Swarajya Sabha, and by 1921 the league had joined the Indian National Congress.</p><h4>Key Details</h4><ul><li>This renaming reflected Gandhi's growing influence on the nationalist movement</li><li>The integration into the INC marked the end of the Home Rule League as a separate entity</li></ul> |  |  |  |  |  |  | Freedom Movement |
1911 |  |  |  |  |  |  |  |  | Annulment of Bengal Partition | <h3>Event Summary</h3><p>In 1911, the British annulled the partition of Bengal, which was one factor that shifted the Muslim League toward cooperation with Congress.</p><h4>Key Details</h4><ul><li>This annulment, along with Britain's abandonment of Turkey and refusal to set up a university at Aligarh, contributed to the Muslim League's changing stance</li><li>This shift eventually led to the 1916 Lucknow Pact between Congress and the Muslim League</li></ul> |  |  |  |  |  |  | British |
1894 | | | | 1906 | | | | 1894-1906 | Gandhi's Moderate Approach in South Africa | <h3>Event Summary</h3><p>Gandhi adopted a moderate approach in South Africa, using petitions as a method of resistance and establishing the Natal Indian Congress.</p><h4>Key Details</h4><ul><li>Gandhi founded the Natal Indian Congress during this period</li><li>Started the newspaper "Indian Opinion"</li><li>Used petitions as the primary method of resistance</li></ul><h4>Significance</h4><p>This period represents Gandhi's early development of resistance methods before adopting more direct forms of passive resistance.</p> | | | | | | | Nationalist Leaders |
1906 | | | | 1914 | | | | 1906-1914 | Development of Satyagraha in South Africa | <h3>Event Summary</h3><p>Gandhi formed the Passive Resistance Association and developed satyagraha (passive resistance) against discriminatory laws in South Africa.</p><h4>Key Details</h4><ul><li>Organized public burning of registration certificates requiring fingerprints</li><li>Protested three-pound poll tax on ex-indentured Indians</li><li>Challenged Supreme Court invalidation of non-Christian marriages</li></ul><h4>Significance</h4><p>This period marked the development of Gandhi's satyagraha technique that would later be applied in India's freedom movement.</p> | | | | | | | Nationalist Leaders |
1910 | | | | | | | | | Establishment of Tolstoy Farm | <h3>Event Summary</h3><p>Gandhi and Herman Kallenbach founded Tolstoy Farm as an educational experiment and community.</p><h4>Key Details</h4><ul><li>Second settlement after Phoenix Farm in Natal</li><li>Combined manual work with intellectual development</li><li>Promoted social service, integrated community, and gender equality</li><li>Operated until 1913</li></ul><h4>Significance</h4><p>Tolstoy Farm served as an experimental community embodying Gandhi's principles of communal living and education.</p> | | | | | | | Nationalist Leaders |
1915 | | | | | | | | | Gandhi's Return to India | <h3>Event Summary</h3><p>Gandhi returned to India after his time in South Africa.</p><h4>Key Details</h4><ul><li>Toured the country for one year</li><li>Initially avoided political positions</li><li>Rejected Home Rule agitation during World War I</li><li>Only joined organizations accepting non-violent satyagraha</li></ul><h4>Significance</h4><p>Gandhi's return to India marked the beginning of his leadership in the Indian independence movement.</p> | | | | | | | Nationalist Leaders |
1917 | | | | | | | | | Champaran Satyagraha | <h3>Event Summary</h3><p>Gandhi led his first civil disobedience movement in India against the tinkathia system that forced peasants to grow indigo.</p><h4>Key Details</h4><ul><li>Peasants were forced to grow indigo on 3/20 part of total land</li><li>Gandhi defied orders to leave the area when investigating</li><li>Secured abolishment of forced cultivation</li><li>Obtained partial compensation (25%) for illegal dues</li><li>European planters eventually abandoned the region</li></ul><h4>Significance</h4><p>This was Gandhi's first civil disobedience movement in India and demonstrated the effectiveness of satyagraha against colonial exploitation.</p> | | | | | | | Freedom Movement |
1917 | | | | 1918 | | | | 1917-1918 | Gandhi's Three Foundational Struggles | <h3>Event Summary</h3><p>Gandhi led three foundational struggles that established his leadership and the effectiveness of satyagraha in India.</p><h4>Key Details</h4><ul><li>Champaran Satyagraha (1917) against forced indigo cultivation</li><li>Ahmedabad Mill Strike (1918) for fair wages</li><li>Kheda Satyagraha (1918) against unjust taxation</li></ul><h4>Significance</h4><p>These struggles demonstrated the efficacy of satyagraha, connected Gandhi with the masses, and gained him respect and commitment, especially from youth.</p> | | | | | | | Freedom Movement |
